Time stamp	4.00pm
Kai	Come out

Kai	You, you deal with me, old man

Kai	Tough guy

Kai	Come here fuck head, ha

Kai	You want me to come inside, I'll fucking come inside, I'll find You

Japanese fixer	Hold on a second

Japanese fixer	You're really aggressive

Kai	You've got nice hair

Japanese fixer	I admire you, I really do

Japanese fixer	It's impressive what you've done here tonight

Kai	Well I'm not finished yet

Japanese fixer	And I'm only getting started

Japanese fixer	As you know, I don't usually involve myself personally in Anything

Japanese fixer	I like to manipulate things

Japanese fixer	But I'm really going to enjoy this

Japanese fixer	It's been a long time since I killed anyone

Japanese fixer	You shot a 22 year old boy

Japanese fixer	That's cold blooded dude

Kai	Yeah, well, I'm not done yet

Japanese fixer	You Hawaiian man

Japanese fixer	They certainly don't make them like you anymore

Japanese fixer	You're pissed at me because I helped some rich parents get their son off, I didn’t kill your family

Japanese fixer	They'd be dead if I stepped in or not

Japanese fixer	So, is this all worth it?

Kai	Yeah

Kai	It's worth it

Japanese fixer	Maybe

Japanese fixer	I took my shot

Japanese fixer	Now you take yours

Japanese fixer	Come on

Japanese fixer	Come on!

Japanese fixer	Ouch fuck

Japanese fixer	Shit

Japanese fixer	God damn

Fah	Kai!

Japanese fixer	I should just shoot you

Fah	Kai, Kai

Fah 	It's me

Japanese fixer	Who the fuck are you

Fah	Who the fuck are you

Japanese fixer	You're the cab driver

Kai	She's not involved

Japanese fixer	Wait you actually care about her?

Japanese fixer	She took bribe money

Kai	Yeah, you didn't give her a choice

Japanese fixer	Ha ha ha, true details

Kai	Let her go

Japanese fixer	How the fuck are you still standing?

Kai	Please

Kai	Let her go

Japanese fixer	I'm going to have to say no

Japanese fixer	But I'm going to be a nice guy

Japanese fixer	I'm going to give you a choice, who do I shoot first?

Kai	Sorry

Fah	Me too

Kai	Her

Japanese fixer	Wise choice

Detective	Is this on me too?

Kai	I'm sorry about the cop

Kai	And the nurse

Kai	She has all the evidence To clear my families name, please do it 

Kai	I held her hostage

Kai	I threatened her brother

Kai	I forced her into this

Fah	Please call an ambulance

Detective	I already have

Kai	I'm dead

Kai	You know that

Kai	I know I don't deserve it

Kai	But I have a request

Kai	hank you
