

[ ARUANAS EP 9 ]






1 (00:01:08:04)

PONTOCOM	D'accord.

GABI	Salut.

PONTOCOM	Félipé. Tout va bien. Je suis d'Aruana. Je reste avec vous, d'accord? Je ne laisserai personne vous faire quoi que ce soit.


43 (00:35:06:17)

PONTOCOM	Gabi, tu sais que j'ai un petit chat, il s'appelleTéobaldo ?

GABI	Oui.

PONTOCOM	Tu aimes les petits chats?

GABI	Oui.

PONTOCOM	C'est vrai?

MIGUEL	Bien sûr. Laissons-le se reposer.

MEDICO	C'est mieux.

MIGUEL	Merci, Docteur.

MEDICO	Au revoir.

PONTOCOM	Gabi, tu t'occupes de Téobaldo pour moi?


44 (00:35:48:21)

LUISA	Yann, mon coeur, c'est maman. Je n'ai pas pu t'appeler avant parce que je n'avais plus de batterie, mais me voilà, je vais rentrer, ok? Je t'aime, je t'aime, je t'aime beaucoup, beaucoup. (snif_) Coupez le moteur.

NATALIE   	Kesski y'a?

LUISA	(_h) Je sais que nous n'avons pas eu une journée facile, mais nous sommes très près d'obtenir ce que nous voulons. Cet accord, il ne sera pas signé.

ANDRE	Luiza a raison.

NATALIE   	Il n'y a qu'un seul moyen, nous devons nous introduire dans ce dîner.

OUT (00:37:07:23)


45 (00:37:35:08)

GABI	(REAC)

INSERT	---MOT DE PASSE INCORRECT---


46 (00:37:50:16)

PONTOCOM	Je te jure que c'est pour une bonne cause, Gabi.

INSERT	--- traitement en cours... ---

PONTOCOM	Yess! Yess!

INSERT	---Fichier décrypté avec succès---

OUT (00:38:54:23)
