390,WILLIE,"Hey, Jed, Jed.",14,0.28
391,JED,"You liked that boy, huh? You liked that boy.",44,0.88
392,CASS,"Jed, I searched him, and he didn't have a knife.",48,0.96
393,JED,"Oh, he didn't have a knife. Then what the hell is that, Cass?",61,1.22
394,CASS,Whatever. He can't be too far.,30,0.6
395,JED,"Dammit, boys! Get on your horses, let's go find him. And if you don't, I'm killin' every one of you.",100,2.0
396,SILAS,Told you he was gonna be pissed.,32,0.64
397,JED,Hiya! Let's go! Let's go!,25,0.5
398,JED,"I'm gonna find you, boy! I'm gonna find you. And when I do... ...I'm gonna shoot your pa and then you!",102,2.04
399,JED,"Where are you, boy? I'm gonna find you! I'm gonna get you! Where are you, boy? I'm gonna find you! I'm gonna find you, MacMasters! I'm gonna kill you and your pa! You can't run from me! I'll get you! I'll get you! I'll get you!",227,4.54
400,JED,"You yell out for help, and them Indians will have our scalp before you can close your mouth.",92,1.84
401,JED,"Get up, get up.",15,0.3
402,JED,"Get up, go! Go! Come on, go! Go! Get up!",40,0.8
403,BRITT,Smoke signals.,14,0.28
404,CHASKA,Should I ride ahead?,20,0.4
405,TUCKER,"Why, so you can join 'em?",25,0.5
406,CHASKA,And why would I do that?,24,0.48
407,TUCKER,"You're one of 'em, aren't you?",30,0.6
408,CHASKA,"I'm not Sioux, I'm Pawnee.",26,0.52
409,TUCKER,You're all the same.,20,0.4
410,CHASKA,"And you're white, so is MacMasters. He's of sound judgement and smart, you're a fool. Same race, both different.",112,2.24
411,TUCKER,Now you listen to me!,21,0.42
412,CHASKA,I could kill you off that horse right now if I wanted to. You'd be dead before you hit the ground.,98,1.96
413,BRITT,You'd have to hit him in the heart or between the eyes to do that.,66,1.32
414,CHASKA,I could do it.,14,0.28
415,BRITT,You're that fast?,17,0.34
416,CHASKA,Hell yeah.,10,0.2
417,BRITT,"Well, prove it.",15,0.3
418,TUCKER,Hey! No. What the hell!,23,0.46
419,JED,"Walk, boy. Get up there, boy.",29,0.58
420,CHAD,I don't think I can.,20,0.4
421,JED,I sure as hell can't carry ya.,30,0.6
422,JED,"Get up, boy! And stop acting like a girl!",41,0.82
423,JED,Is Marshal MacMasters really your daddy? He know he raisin' a son that cries like a little girl?,96,1.92
424,CHAD,And you cried a little girl when you got your eye poked out!,60,1.2
425,JED,"I'm gonna shoot your eye right now, boy. Get up that mountain.",62,1.24
426,JED,"Come on, Chad! I got the son of Marshal MacMasters and he can't climb a damn hill! My damn son.",95,1.9
427,JED,"Stop! Stop, kid! Stop! Don't run away from me! Yeah.",52,1.04
428,JED,"Keep walking, boy. Woah, boy.",29,0.58
429,WILLIE,"Jed, Jed. You fire that gun, you're gonna have Sioux from all around these hills comin' down on us.",99,1.98
430,JED,I don't give a damn.,20,0.4
431,WILLIE,"Hey look, Jed, you've been beatin' on him enough. You need him alive.",69,1.38
432,JED,"You better not die, boy. I wanna see you suffer some more, you little MacMasters brat. Why? I ain't even begin to dig my claws in you yet, little fella. You're the only MacMasters I got just now. We're gonna play game some more. Then I'm gonna crush the breath out of your throat.",280,5.6
433,JED,"Willie. This your apple peeler, Willie?",39,0.78
434,WILLIE,Yeah.,5,0.1
435,JED,You lost it.,12,0.24
436,WILLIE,You found it.,13,0.26
437,JED,Ain't that a damn shame.,24,0.48
438,WILLIE,"God, Jed, what'd you do that for?",33,0.66
439,JED,"Make sure you don't lose it again. Lucky, I don't slit your throat. Come on, kid.",81,1.62
440,JED,Now you boys keep a look out for Cass.,38,0.76
